%time Phouse1 Phouse2 Phouse5
81 1195.64210526 1464.69473684 3394.48421053
82 1194.69473684 1466.27368421 3378.56842105
83 1189.57894737 1467.47368421 3367.64210526
84 1203.53684211 1474.35789474 3273.53684211
85 1187.68421053 1476.50526316 3412.42105263
86 1198.67368421 1494.56842105 3318.31578947
87 1194.69473684 1495.13684211 3318.18947368
88 1197.15789474 1495.07368421 3381.41052632
89 1192.10526316 1495.38947368 3300.94736842
90 1200.44210526 1486.48421053 3357.72631579
91 1190.96842105 1593.15789474 3312.88421053
92 1195.76842105 1571.93684211 3348
93 1198.16842105 1575.47368421 3312
94 1188.25263158 1572.25263158 3272.46315789
95 1200.88421053 1565.49473684 3403.13684211
96 1187.30526316 1570.73684211 3432.50526316
97 1195.01052632 1572.44210526 3434.84210526
98 1191.03157895 1570.8 3428.52631579
99 1193.05263158 1564.04210526 3382.48421053
100 1183.01052632 1566.82105263 3301.70526316
101 1198.48421053 1572.50526316 3363.28421053
102 1183.95789474 1571.87368421 3328.35789474
103 1196.14736842 1567.51578947 3345.15789474
104 1193.24210526 1566.25263158 3372.06315789
105 1191.78947368 1572.63157895 3412.8
106 1187.93684211 1570.8 3418.67368421
107 1198.04210526 1567.32631579 3467.05263158
108 1184.71578947 1563.28421053 3367.89473684
109 1198.10526316 1569.34736842 3364.16842105
110 1191.78947368 1567.95789474 3346.54736842
111 1192.54736842 1567.32631579 3380.21052632
112 1187.05263158 1580.02105263 3295.26315789
113 1192.23157895 1591.38947368 3395.81052632
114 1184.02105263 1601.62105263 3333.22105263
115 1200.37894737 1580.84210526 3325.26315789
116 1184.14736842 1571.11578947 3323.49473684
117 1197.34736842 1583.43157895 3359.93684211
118 1190.33684211 1583.62105263 3335.62105263
119 1193.24210526 1584.06315789 3326.65263158
120 1191.03157895 1582.16842105 3363.78947368
121 1199.36842105 1583.11578947 3379.45263158
122 1183.2 1583.81052632 3323.36842105
123 1198.86315789 1584.12631579 3347.36842105
124 1185.78947368 1592.14736842 3334.92631579
125 1193.93684211 1593.85263158 3339.09473684
126 1190.21052632 1588.35789474 3324.44210526
127 1192.16842105 1589.43157895 3346.29473684
128 1190.33684211 1595.81052632 3338.14736842
129 1190.58947368 1589.36842105 3370.10526316
130 1191.6 1583.74736842 3376.67368421
131 1183.57894737 1593.22105263 3404.14736842
132 1201.13684211 1586.33684211 3338.08421053
133 1181.87368421 1588.23157895 3444
134 1197.53684211 1593.09473684 3443.55789474
135 1190.08421053 1580.46315789 3384.18947368
136 1192.10526316 1584.44210526 3509.43157895
137 1189.32631579 1587.41052632 3476.84210526
138 1193.24210526 1580.14736842 3422.08421053
139 1184.52631579 1587.41052632 3347.24210526
140 1198.98947368 1591.70526316 3355.64210526
141 1182.88421053 1586.02105263 3398.4
142 1192.98947368 1594.10526316 3470.02105263
143 1195.89473684 1584.25263158 3422.96842105
144 1190.84210526 1577.87368421 3424.98947368
145 1190.33684211 1584 3374.21052632
146 1192.29473684 1571.68421053 3396.69473684
147 1184.52631579 1576.23157895 3468.69473684
148 1200.44210526 1587.78947368 3388.04210526
149 1181.05263158 1570.42105263 3381.91578947
150 1198.42105263 1574.96842105 3371.30526316
151 1184.52631579 1580.65263158 3357.91578947
152 1194.18947368 1575.03157895 3377.81052632
153 1191.09473684 1572.37894737 3349.64210526
154 1190.46315789 1572.12631579 3383.81052632
155 1186.10526316 1566.94736842 3370.54736842
156 1197.91578947 1586.14736842 3367.76842105
157 1181.11578947 1580.77894737 3385.76842105
158 1198.92631579 1574.77894737 3367.01052632
159 1181.87368421 1574.84210526 3393.53684211
160 1196.52631579 1576.04210526 3369.78947368
161 1189.83157895 1573.01052632 3386.21052632
162 1188.50526316 1573.45263158 3384.56842105
163 1188.37894737 1565.55789474 3390.63157895
164 1188.12631579 1587.78947368 3409.07368421
165 1190.84210526 1590.25263158 3398.96842105
166 1187.87368421 1573.76842105 3368.90526316
167 1190.08421053 1511.62105263 3376.42105263
168 1186.42105263 1497.47368421 3384.37894737
169 1191.28421053 1515.97894737 3383.11578947
170 1181.24210526 1515.09473684 3364.73684211
171 1196.77894737 1495.57894737 3370.23157895
172 1179.97894737 1499.68421053 3361.76842105
173 1192.92631579 1505.62105263 3389.68421053
174 1182.37894737 1512.63157895 3372
175 1189.32631579 1514.84210526 3363.22105263
176 1186.35789474 1506 3370.67368421
177 1189.64210526 1513.07368421 3349.64210526
178 1184.77894737 1503.85263158 3369.03157895
179 1194.25263158 1476.50526316 3411.47368421
180 1177.57894737 1432.98947368 3422.33684211
181 1190.21052632 1438.73684211 3400.35789474
182 1175.81052632 1447.89473684 3385.38947368
183 1185.85263158 1438.54736842 3397.38947368
184 1185.72631579 1442.02105263 3396.44210526
185 1187.68421053 1452.25263158 3410.27368421
186 1179.97894737 1436.52631579 3382.42105263
187 1190.14736842 1447.2 3377.87368421
188 1176.44210526 1440.63157895 3390.63157895
189 1196.96842105 1437.6 3400.48421053
190 1173.97894737 1441.13684211 3379.2
191 1189.32631579 1440.56842105 3385.83157895
192 1181.36842105 1445.93684211 3374.96842105
193 1188.94736842 1434.94736842 3380.33684211
194 1187.17894737 1454.33684211 3368.33684211
195 1184.46315789 1461.03157895 3366.94736842
196 1181.43157895 1452.18947368 3372.12631579
197 1190.65263158 1462.54736842 3381.03157895
198 1177.01052632 1450.98947368 3366.12631579
199 1194.82105263 1449.91578947 3375.47368421
200 1176.82105263 1450.48421053 3367.13684211
201 1181.81052632 1437.09473684 3388.29473684
202 1187.43157895 1451.24210526 3374.27368421
203 1175.49473684 1451.62105263 3387.85263158
204 1192.54736842 1440.56842105 3388.23157895
205 1172.58947368 1442.02105263 3402.63157895
206 1186.29473684 1437.15789474 3379.76842105
207 1177.95789474 1447.57894737 3382.73684211
208 1182.37894737 1448.46315789 3365.05263158
209 1182.56842105 1448.21052632 3376.48421053
210 1185.03157895 1431.47368421 3411.09473684
211 1179.09473684 1445.93684211 3387.97894737
212 1192.92631579 1434.88421053 3375.6
213 1180.35789474 1444.54736842 3379.45263158
214 1195.57894737 1440.63157895 3369.72631579
215 1177.64210526 1430.02105263 3362.27368421
216 1186.92631579 1428.88421053 3384.12631579
217 1183.13684211 1437.6 3378.56842105
218 1184.52631579 1430.14736842 3372.12631579
219 1182.75789474 1437.66315789 3381.22105263
220 1188.18947368 1439.62105263 3372.63157895
221 1178.21052632 1430.84210526 3392.21052632
222 1193.68421053 1433.36842105 3454.04210526
223 1174.48421053 1435.83157895 3471.03157895
224 1186.98947368 1427.55789474 3406.73684211
225 1181.68421053 1434.82105263 3410.90526316
226 1182.12631579 1433.68421053 3407.68421053
227 1180.29473684 1429.89473684 3378.50526316
228 1184.46315789 1436.58947368 3367.32631579
229 1178.77894737 1431.53684211 3397.45263158
230 1190.58947368 1428 3382.98947368
231 1171.83157895 1435.07368421 3386.77894737
232 1187.62105263 1424.96842105 3374.58947368
233 1176.82105263 1428.50526316 3381.28421053
234 1182.37894737 1438.16842105 3379.64210526
235 1183.13684211 1429.57894737 3372.31578947
236 1181.24210526 1431.28421053 3373.51578947
237 1179.85263158 1436.21052632 3385.83157895
238 1182.88421053 1424.84210526 3382.29473684
239 1181.55789474 1434 3376.23157895
240 1182.44210526 1436.65263158 3388.92631579
241 1181.55789474 1427.93684211 3407.30526316
242 1176.82105263 1432.48421053 3402.75789474
243 1186.92631579 1436.21052632 3413.49473684
244 1172.33684211 1424.71578947 3402.06315789
245 1185.53684211 1433.68421053 3491.55789474
246 1177.95789474 1434.56842105 3414.12631579
247 1182.25263158 1425.72631579 3416.08421053
248 1180.92631579 1432.23157895 3389.24210526
249 1185.28421053 1432.04210526 3404.02105263
250 1174.29473684 1424.4 3382.04210526
251 1190.71578947 1433.68421053 3378.94736842
252 1172.52631579 1433.30526316 3370.73684211
253 1188.12631579 1421.55789474 3387.6
254 1180.67368421 1428.75789474 3385.76842105
255 1182.50526316 1432.23157895 3356.02105263
256 1176.94736842 1424.21052632 3377.17894737
257 1181.24210526 1431.03157895 3380.71578947
258 1169.43157895 1438.8 3381.66315789
259 1185.97894737 1432.8 3372.25263158
260 1173.91578947 1432.04210526 3398.52631579
261 1181.17894737 1426.42105263 3388.16842105
262 1177.51578947 1419.28421053 3372.44210526
263 1178.02105263 1423.76842105 3432.88421053
264 1171.26315789 1425.53684211 3464.21052632
265 1181.17894737 1425.53684211 3399.6
266 1168.42105263 1420.42105263 3392.02105263
267 1186.92631579 1421.93684211 3370.29473684
268 1170.63157895 1424.33684211 3380.02105263
269 1181.36842105 1422.94736842 3389.62105263
270 1178.21052632 1418.08421053 3455.49473684
271 1180.04210526 1423.38947368 3438.88421053
272 1173.15789474 1424.65263158 3511.45263158
273 1188.50526316 1426.35789474 3425.24210526
274 1178.08421053 1420.98947368 3344.14736842
275 1178.33684211 1420.16842105 3527.62105263
276 1187.11578947 1426.04210526 3386.08421053
277 1171.89473684 1429.01052632 3391.26315789
278 1185.91578947 1428 3346.67368421
279 1170.12631579 1425.34736842 3384
280 1179.03157895 1424.4 3323.55789474
281 1176.82105263 1427.62105263 3412.98947368
282 1178.65263158 1426.04210526 3374.21052632
283 1174.35789474 1427.62105263 3482.77894737
284 1186.86315789 1419.78947368 3309.15789474
285 1169.05263158 1419.47368421 3372.18947368
286 1185.6 1428.44210526 3381.09473684
287 1174.16842105 1428.12631579 3389.74736842
288 1179.53684211 1423.32631579 3449.81052632
289 1177.89473684 1422.25263158 3440.52631579
290 1177.76842105 1423.07368421 3464.84210526
291 1171.70526316 1426.54736842 3484.98947368
292 1185.03157895 1423.76842105 3485.43157895
293 1169.05263158 1419.41052632 3425.05263158
294 1184.77894737 1417.13684211 3362.46315789
295 1178.08421053 1424.46315789 3378.25263158
296 1181.49473684 1423.89473684 3375.66315789
297 1178.4 1423.13684211 3411.91578947
298 1183.32631579 1419.34736842 3390.63157895
299 1172.33684211 1415.36842105 3390.82105263
300 1192.16842105 1418.27368421 3376.67368421
301 1171.89473684 1421.49473684 3415.57894737
302 1184.96842105 1420.48421053 3435.6
303 1176.82105263 1421.17894737 3392.90526316
304 1179.53684211 1416.50526316 3420.25263158
305 1174.86315789 1418.02105263 3399.85263158
306 1185.72631579 1422.44210526 3397.95789474
307 1173.97894737 1419.66315789 3464.65263158
308 1187.62105263 1423.51578947 3458.21052632
309 1171.32631579 1419.09473684 3462.63157895
310 1184.90526316 1416.25263158 3398.27368421
311 1189.83157895 1422.75789474 3400.98947368
312 1172.08421053 1420.61052632 3334.61052632
313 1183.89473684 1419.41052632 3459.28421053
314 1175.05263158 1419.85263158 3492.56842105
315 1179.09473684 1418.4 3411.09473684
316 1179.6 1416.63157895 3367.01052632
317 1176.44210526 1418.52631579 3399.41052632
318 1175.49473684 1420.8 3460.86315789
319 1182.94736842 1416.56842105 3405.47368421
320 1167.15789474 1417.13684211 3376.10526316
321 1185.34736842 1422.56842105 3393.09473684
322 1171.38947368 1419.22105263 3358.67368421
323 1183.64210526 1424.33684211 3376.35789474
324 1176.56842105 1417.01052632 3349.13684211
325 1179.47368421 1423.13684211 3344.96842105
326 1169.24210526 1423.70526316 3325.13684211
327 1184.52631579 1422 3337.83157895
328 1169.11578947 1423.2 3324.88421053
329 1183.07368421 1424.27368421 3361.83157895
330 1174.86315789 1422.12631579 3343.83157895
331 1179.41052632 1418.27368421 3330.12631579
332 1179.78947368 1420.04210526 3345.03157895
333 1179.91578947 1422.31578947 3361.01052632
334 1171.32631579 1419.28421053 3383.74736842
335 1188.12631579 1422.25263158 3379.32631579
336 1171.26315789 1419.97894737 3459.41052632
337 1183.32631579 1418.71578947 3430.67368421
338 1177.64210526 1413.41052632 3414
339 1179.03157895 1416.18947368 3427.95789474
340 1171.83157895 1418.71578947 3419.81052632
341 1178.96842105 1420.67368421 3434.71578947
342 1166.96842105 1421.24210526 3454.54736842
343 1185.85263158 1418.84210526 3452.33684211
344 1168.23157895 1416.06315789 3449.93684211
345 1182.12631579 1417.45263158 3493.51578947
346 1179.85263158 1415.74736842 3374.71578947
347 1173.47368421 1418.90526316 3396.25263158
348 1183.13684211 1422.25263158 3395.24210526
349 1177.13684211 1424.14736842 3430.73684211
350 1179.28421053 1424.46315789 3434.65263158
351 1174.86315789 1422.50526316 3408.82105263
352 1178.96842105 1419.53684211 3380.96842105
353 1173.41052632 1419.22105263 3368.02105263
354 1188.69473684 1421.05263158 3348.12631579
355 1172.4 1426.67368421 3376.92631579
356 1182.69473684 1423.76842105 3365.36842105
357 1178.90526316 1418.08421053 3366.94736842
358 1183.26315789 1418.96842105 3377.11578947
359 1175.55789474 1422.44210526 3363.78947368
360 1192.98947368 1416.94736842 3370.10526316
361 1168.42105263 1419.28421053 3424.42105263
362 1184.84210526 1415.68421053 3411.6
363 1176.06315789 1415.87368421 3385.70526316
364 1182.50526316 1418.21052632 3380.71578947
365 1181.11578947 1422.37894737 3392.46315789
366 1181.62105263 1419.91578947 3368.33684211
367 1173.91578947 1414.86315789 3362.96842105
368 1185.91578947 1414.98947368 3360.56842105
369 1171.45263158 1419.53684211 3372.63157895
370 1184.84210526 1420.16842105 3367.32631579
371 1180.54736842 1421.05263158 3378.37894737
372 1178.4 1422.44210526 3343.64210526
373 1174.8 1419.03157895 3366.18947368
374 1185.66315789 1418.02105263 3384
375 1169.30526316 1421.43157895 3410.02105263
376 1189.26315789 1421.93684211 3370.42105263
377 1177.38947368 1422.75789474 3409.26315789
378 1180.48421053 1424.27368421 3367.51578947
379 1174.86315789 1421.87368421 3418.29473684
380 1185.34736842 1416.44210526 3526.86315789
381 1173.78947368 1421.87368421 3448.42105263
382 1188.75789474 1421.87368421 3423.41052632
383 1176.50526316 1423.70526316 3392.08421053
384 1174.98947368 1425.41052632 3425.24210526
385 1185.47368421 1425.22105263 3413.11578947
386 1172.21052632 1421.24210526 3337.32631579
387 1183.07368421 1419.85263158 3372.88421053
388 1182.56842105 1420.86315789 3428.21052632
389 1182 1419.09473684 3434.27368421
390 1178.4 1423.26315789 3360.94736842
391 1187.62105263 1421.62105263 3413.81052632
392 1171.13684211 1418.77894737 3380.08421053
393 1192.73684211 1419.03157895 3368.33684211
394 1171.51578947 1418.71578947 3334.16842105
395 1182.82105263 1417.57894737 3364.86315789
396 1180.54736842 1422.25263158 3362.46315789
397 1182.06315789 1420.8 3409.2
398 1174.98947368 1417.83157895 3402.94736842
399 1187.43157895 1420.23157895 3365.36842105
400 1171.13684211 1417.13684211 3370.92631579
401 1188.75789474 1416.44210526 3430.16842105
402 1172.58947368 1415.30526316 3460.04210526
403 1181.43157895 1413.97894737 3384.50526316
404 1180.8 1415.43157895 3424.29473684
405 1177.26315789 1417.38947368 3436.73684211
406 1172.90526316 1416.12631579 3420.63157895
407 1187.87368421 1418.14736842 3391.70526316
408 1171.38947368 1420.35789474 3345.41052632
409 1184.58947368 1417.13684211 3408.06315789
410 1179.66315789 1414.98947368 3449.49473684
411 1180.73684211 1418.33684211 3418.10526316
412 1178.08421053 1417.2 3400.04210526
413 1182.18947368 1418.02105263 3447.15789474
414 1173.28421053 1416.69473684 3372.50526316
415 1190.08421053 1415.11578947 3470.02105263
416 1174.42105263 1417.76842105 3550.54736842
417 1185.91578947 1420.04210526 3485.17894737
418 1181.24210526 1418.58947368 3491.62105263
419 1181.87368421 1420.10526316 3564.94736842
420 1185.15789474 1415.11578947 3372.37894737
421 1183.07368421 1417.32631579 3326.4
422 1184.52631579 1417.2 3308.52631579
423 1184.52631579 1419.28421053 3309.41052632
424 1187.24210526 1420.92631579 3304.61052632
425 1173.85263158 1414.42105263 3303.28421053
426 1189.51578947 1417.2 3279.03157895
427 1176.18947368 1418.52631579 3283.51578947
428 1186.16842105 1413.85263158 3276.94736842
429 1180.8 1424.46315789 3318.37894737
430 1184.4 1416.25263158 3361.57894737
431 1175.30526316 1417.89473684 3500.4
432 1193.93684211 1418.33684211 3496.67368421
433 1172.71578947 1418.27368421 3470.65263158
434 1186.23157895 1417.07368421 3477.53684211
435 1174.35789474 1413.97894737 3458.27368421
436 1180.98947368 1417.38947368 3468.44210526
437 1176.25263158 1419.85263158 3461.43157895
438 1184.08421053 1421.05263158 3471.78947368
439 1170.63157895 1417.38947368 3468.37894737
440 1187.55789474 1415.81052632 3500.58947368
441 1171.13684211 1416.37894737 3549.66315789
442 1182.82105263 1415.17894737 3502.29473684
443 1181.43157895 1416.50526316 3605.36842105
444 1179.91578947 1418.27368421 3487.64210526
445 1177.45263158 1416.63157895 3489.72631579
446 1189.89473684 1413.72631579 3471.6
447 1173.6 1418.21052632 3392.27368421
448 1192.54736842 1416.37894737 3270.50526316
449 1180.48421053 1419.66315789 3307.89473684
450 1187.36842105 1416.31578947 3276.44210526
451 1180.61052632 1415.30526316 3430.73684211
452 1188.94736842 1417.89473684 3404.02105263
453 1179.6 1417.45263158 3400.23157895
454 1196.90526316 1419.97894737 3334.73684211
455 1176.37894737 1415.74736842 3438.12631579
456 1185.85263158 1416.06315789 3397.64210526
457 1189.01052632 1418.4 3374.77894737
458 1176.18947368 1417.45263158 3346.23157895
459 1190.52631579 1420.86315789 3258.94736842
460 1186.04210526 1418.84210526 3264.69473684
461 1184.77894737 1417.83157895 3336.56842105
462 1178.21052632 1414.23157895 3306.94736842
463 1185.91578947 1415.43157895 3433.26315789
464 1174.48421053 1416.25263158 3464.96842105
465 1189.38947368 1424.58947368 3441.66315789
466 1174.10526316 1420.04210526 3377.36842105
467 1183.32631579 1423.38947368 3334.67368421
468 1179.22105263 1417.64210526 3344.90526316
469 1182.75789474 1424.46315789 3342
470 1175.05263158 1420.29473684 3399.97894737
471 1190.46315789 1423.38947368 3368.33684211
472 1173.15789474 1429.07368421 3346.61052632
473 1187.74736842 1432.10526316 3325.13684211
474 1177.07368421 1430.90526316 3268.54736842
475 1182.75789474 1417.13684211 3261.85263158
476 1179.47368421 1423.07368421 3261.47368421
477 1187.74736842 1422 3268.35789474
478 1175.62105263 1413.6 3251.81052632
479 1190.14736842 1417.38947368 3276.75789474
480 1178.90526316 1410.94736842 3253.89473684
481 1183.45263158 1411.13684211 3288.44210526
482 1185.66315789 1412.84210526 3364.61052632
483 1184.27368421 1412.58947368 3527.55789474
484 1176.50526316 1414.8 3358.61052632
485 1192.67368421 1416.63157895 3362.65263158
486 1176.06315789 1412.77894737 3325.38947368
487 1187.24210526 1412.02105263 3314.02105263
488 1184.02105263 1415.05263158 3406.8
489 1181.05263158 1413.97894737 3381.97894737
490 1177.70526316 1415.81052632 3338.08421053
491 1186.8 1415.49473684 3397.13684211
492 1177.95789474 1412.46315789 3303.97894737
493 1181.55789474 1412.21052632 3317.43157895
494 1190.21052632 1414.8 3272.08421053
495 1173.78947368 1416.12631579 3388.54736842
496 1183.64210526 1410.63157895 3516.75789474
497 1178.33684211 1408.61052632 3319.57894737
498 1180.54736842 1411.76842105 3372.69473684
499 1173.47368421 1411.76842105 3329.93684211
500 1191.85263158 1412.52631579 3356.27368421
501 1172.58947368 1418.90526316 3394.16842105
502 1182.88421053 1416.06315789 3510.63157895
503 1178.02105263 1416.31578947 3371.11578947
504 1182.69473684 1414.61052632 3332.84210526
505 1175.17894737 1415.68421053 3300.63157895
506 1190.27368421 1418.27368421 3281.74736842
507 1176.56842105 1415.62105263 3293.87368421
508 1183.45263158 1415.55789474 3313.57894737
509 1177.01052632 1414.23157895 3314.65263158
510 1192.67368421 1411.70526316 3273.47368421
511 1175.43157895 1411.89473684 3361.57894737
512 1188.56842105 1415.24210526 3374.58947368
513 1178.65263158 1410.56842105 3301.95789474
514 1184.33684211 1413.15789474 3302.14736842
515 1179.03157895 1416.56842105 3284.33684211
516 1190.65263158 1415.24210526 3276.69473684
517 1171.89473684 1413.41052632 3272.71578947
518 1185.97894737 1413.09473684 3269.68421053
519 1176.25263158 1412.21052632 3261.28421053
520 1179.28421053 1412.71578947 3305.30526316
521 1174.35789474 1414.61052632 3379.2
522 1185.53684211 1415.49473684 3274.8
523 1168.23157895 1414.61052632 3262.23157895
524 1182.06315789 1414.23157895 3349.26315789
525 1177.89473684 1417.51578947 3460.61052632
526 1178.84210526 1415.30526316 3446.71578947
527 1174.23157895 1411.01052632 3291.85263158
528 1185.53684211 1410.06315789 3266.21052632
529 1175.74736842 1411.07368421 3267.15789474
530 1172.58947368 1410.69473684 3261.28421053
531 1186.23157895 1410.06315789 3380.96842105
532 1173.91578947 1412.33684211 3481.64210526
533 1181.11578947 1412.71578947 3443.81052632
534 1174.10526316 1411.01052632 3306.88421053
535 1185.41052632 1410.94736842 3260.96842105
536 1172.27368421 1411.51578947 3235.13684211
537 1184.84210526 1408.61052632 3354.69473684
538 1182.82105263 1410.37894737 3277.2
539 1182.44210526 1407.28421053 3213.09473684
540 1174.42105263 1409.62105263 3260.58947368
541 1185.78947368 1414.67368421 3246.06315789
542 1175.74736842 1406.84210526 3240.37894737
543 1182.31578947 1408.92631579 3266.90526316
544 1179.09473684 1408.86315789 3249.15789474
545 1181.43157895 1408.23157895 3245.17894737
546 1174.16842105 1410.88421053 3236.77894737
547 1185.34736842 1409.36842105 3256.16842105
548 1177.07368421 1407.66315789 3307.13684211
549 1182.44210526 1404.50526316 3375.22105263
550 1175.87368421 1408.92631579 3518.71578947
551 1189.07368421 1408.35789474 3360.69473684
552 1172.27368421 1407.66315789 3242.77894737
553 1185.09473684 1405.70526316 3437.36842105
554 1175.62105263 1405.45263158 3373.83157895
555 1178.96842105 1408.35789474 3360.69473684
556 1170.94736842 1407.72631579 3370.35789474
557 1187.24210526 1403.87368421 3401.17894737
558 1170.88421053 1409.81052632 3261.91578947
559 1179.53684211 1411.64210526 3311.49473684
560 1177.89473684 1411.83157895 3286.04210526
561 1180.61052632 1410.06315789 3340.10526316
562 1172.4 1407.15789474 3362.33684211
563 1186.10526316 1407.78947368 3358.8
564 1174.73684211 1409.11578947 3341.55789474
565 1175.87368421 1412.02105263 3370.61052632
566 1181.17894737 1410.12631579 3337.32631579
567 1179.09473684 1403.93684211 3355.13684211
568 1180.54736842 1405.89473684 3343.38947368
569 1171.83157895 1406.33684211 3370.67368421
570 1186.98947368 1411.38947368 3312.31578947
571 1169.87368421 1410.94736842 3287.30526316
572 1179.85263158 1406.52631579 3271.83157895
573 1176.44210526 1407.28421053 3305.74736842
574 1186.54736842 1408.42105263 3300.44210526
575 1170.44210526 1412.21052632 3348.06315789
576 1182.37894737 1412.21052632 3358.23157895
577 1181.87368421 1407.47368421 3403.89473684
578 1180.73684211 1181.81052632 3366.25263158
579 1173.15789474 938.273684211 3353.36842105
580 1183.01052632 942.378947368 3358.35789474
581 1175.43157895 943.010526316 3356.58947368
582 1180.35789474 937.957894737 3311.49473684
583 1172.71578947 938.715789474 3325.83157895
584 1185.28421053 937.768421053 3327.15789474
585 1175.62105263 940.294736842 3345.34736842
586 1179.72631579 941.810526316 3314.65263158
587 1173.15789474 941.810526316 3298.98947368
588 1185.97894737 940.610526316 3335.49473684
589 1171.70526316 940.863157895 3364.92631579
590 1180.8 942.757894737 3329.17894737
591 1173.97894737 942.884210526 3305.49473684
592 1184.96842105 938.526315789 3299.87368421
593 1169.55789474 939.915789474 3327.22105263
594 1183.51578947 941.052631579 3317.68421053
595 1178.52631579 940.989473684 3321.34736842
596 1181.81052632 941.557894737 3302.46315789
597 1176.69473684 939.536842105 3354.31578947
598 1189.26315789 942.442105263 3327.22105263
599 1172.71578947 939.347368421 3305.87368421
600 1181.11578947 944.463157895 3331.83157895
601 1179.41052632 944.336842105 3322.10526316
602 1182.56842105 941.494736842 3334.73684211
603 1180.04210526 941.621052632 3330.50526316
604 1174.04210526 940.168421053 3334.35789474
605 1187.36842105 943.136842105 3328.23157895
606 1170.12631579 943.452631579 3315.41052632
607 1182.50526316 939.663157895 3326.77894737
608 1178.27368421 938.589473684 3309.34736842
609 1178.90526316 939.410526316 3329.87368421
610 1174.98947368 940.863157895 3326.84210526
611 1187.43157895 938.336842105 3309.15789474
612 1174.42105263 932.968421053 3323.24210526
613 1181.43157895 936.126315789 3333.72631579
614 1173.03157895 939.094736842 3307.07368421
615 1183.83157895 941.621052632 3340.48421053
616 1171.95789474 938.463157895 3328.16842105
617 1181.62105263 940.421052632 3366.50526316
